,time,model,driving,connected,soc,charge_need,cadaster
0,1,Volkswagen ID.3,False,True,36.25,7.200000000000003,79514:037:0033
1,2,Volkswagen ID.3,True,False,43.45,0.0,79514:037:0033
2,3,Volkswagen ID.3,False,True,40.7991333635093,4.2008666364907015,79514:037:0033
3,4,Volkswagen ID.3,False,True,45.0,0.0,79514:037:0033
4,5,Volkswagen ID.3,False,True,45.0,0.0,79514:037:0033
5,6,Volkswagen ID.3,False,True,45.0,0.0,79514:037:0033
6,7,Volkswagen ID.3,True,False,45.0,0.0,79510:013:0008
7,8,Volkswagen ID.3,True,False,44.195,0.0,79510:013:0008
8,9,Volkswagen ID.3,True,False,37.77957789817143,0.0,79510:013:0008
9,10,Volkswagen ID.3,False,True,35.831480444916195,7.200000000000003,79510:013:0008
10,11,Volkswagen ID.3,False,True,43.0314804449162,1.9685195550838017,79510:013:0008
11,12,Volkswagen ID.3,False,True,45.0,0.0,79510:013:0008
12,13,Volkswagen ID.3,False,True,45.0,0.0,79510:013:0008
13,14,Volkswagen ID.3,False,True,45.0,0.0,79510:013:0008
14,15,Volkswagen ID.3,False,True,45.0,0.0,79510:013:0008
15,16,Volkswagen ID.3,False,True,45.0,0.0,79510:013:0008
16,17,Volkswagen ID.3,True,False,45.0,0.0,79510:013:0008
17,18,Volkswagen ID.3,False,True,39.22114006256254,5.77885993743746,79510:013:0008
18,19,Volkswagen ID.3,True,False,45.0,0.0,79514:037:0033
19,20,Volkswagen ID.3,False,True,44.195,0.8049999999999997,79514:037:0033
20,21,Volkswagen ID.3,True,False,45.0,0.0,79514:037:0033
21,22,Volkswagen ID.3,False,True,33.484868135787835,7.200000000000003,79514:037:0033
22,23,Volkswagen ID.3,False,True,40.68486813578784,4.315131864212162,79514:037:0033
23,24,Volkswagen ID.3,False,True,45.0,0.0,79514:037:0033
0,1,Renault Zoe,False,True,36.25,4.75,79512:036:0020
1,2,Renault Zoe,False,True,41.0,0.0,79512:036:0020
2,3,Renault Zoe,False,True,41.0,0.0,79512:036:0020
3,4,Renault Zoe,False,True,41.0,0.0,79512:036:0020
4,5,Renault Zoe,False,True,41.0,0.0,79512:036:0020
5,6,Renault Zoe,False,True,41.0,0.0,79512:036:0020
6,7,Renault Zoe,False,True,41.0,0.0,79503:001:0074
7,8,Renault Zoe,True,False,41.0,0.0,79503:001:0074
8,9,Renault Zoe,True,False,34.83501229224069,0.0,79503:001:0074
9,10,Renault Zoe,True,False,27.579850644555023,0.0,79503:001:0074
10,11,Renault Zoe,False,True,26.759850644555023,14.240149355444977,79503:001:0074
11,12,Renault Zoe,False,True,41.0,0.0,79503:001:0074
12,13,Renault Zoe,False,True,41.0,0.0,79503:001:0074
13,14,Renault Zoe,False,True,41.0,0.0,79503:001:0074
14,15,Renault Zoe,False,True,41.0,0.0,79503:001:0074
15,16,Renault Zoe,True,False,41.0,0.0,79503:001:0074
16,17,Renault Zoe,True,False,38.48972760880974,0.0,79503:001:0074
17,18,Renault Zoe,True,False,26.959321434612686,0.0,79503:001:0074
18,19,Renault Zoe,True,False,18.70949908596507,0.0,79512:036:0020
19,20,Renault Zoe,True,False,17.88949908596507,0.0,79512:036:0020
20,21,Renault Zoe,True,False,8.632747218625687,0.0,79512:036:0020
21,22,Renault Zoe,True,False,0.0,0.0,79512:036:0020
22,23,Renault Zoe,False,True,0.0,22.0,79512:036:0020
23,24,Renault Zoe,False,True,22.0,19.0,79512:036:0020
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79508:016:0001
1,2,Nissan Leaf e+,False,True,42.85,6.600000000000001,79508:016:0001
2,3,Nissan Leaf e+,False,True,49.45,6.549999999999997,79508:016:0001
3,4,Nissan Leaf e+,False,True,56.0,0.0,79508:016:0001
4,5,Nissan Leaf e+,False,True,56.0,0.0,79508:016:0001
5,6,Nissan Leaf e+,False,True,56.0,0.0,79508:016:0001
6,7,Nissan Leaf e+,False,True,56.0,0.0,79504:016:0026
7,8,Nissan Leaf e+,False,True,56.0,0.0,79504:016:0026
8,9,Nissan Leaf e+,False,True,56.0,0.0,79504:016:0026
9,10,Nissan Leaf e+,True,False,56.0,0.0,79504:016:0026
10,11,Nissan Leaf e+,True,False,49.352453259113204,0.0,79504:016:0026
11,12,Nissan Leaf e+,True,False,48.492453259113205,0.0,79504:016:0026
12,13,Nissan Leaf e+,False,True,43.72332053791179,6.600000000000001,79504:016:0026
13,14,Nissan Leaf e+,True,False,50.32332053791179,0.0,79504:016:0026
14,15,Nissan Leaf e+,False,True,41.435937980254266,6.600000000000001,79504:016:0026
15,16,Nissan Leaf e+,True,False,48.03593798025427,0.0,79504:016:0026
16,17,Nissan Leaf e+,False,True,38.2156029923483,6.600000000000001,79504:016:0026
17,18,Nissan Leaf e+,False,True,44.8156029923483,6.600000000000001,79504:016:0026
18,19,Nissan Leaf e+,True,False,51.415602992348305,0.0,79508:016:0001
19,20,Nissan Leaf e+,False,True,46.60150280526463,6.600000000000001,79508:016:0001
20,21,Nissan Leaf e+,True,False,53.20150280526463,0.0,79508:016:0001
21,22,Nissan Leaf e+,False,True,52.34150280526463,3.658497194735368,79508:016:0001
22,23,Nissan Leaf e+,False,True,56.0,0.0,79508:016:0001
23,24,Nissan Leaf e+,False,True,56.0,0.0,79508:016:0001
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79509:019:0003
1,2,Nissan Leaf e+,False,True,42.85,6.600000000000001,79509:019:0003
2,3,Nissan Leaf e+,False,True,49.45,6.549999999999997,79509:019:0003
3,4,Nissan Leaf e+,False,True,56.0,0.0,79509:019:0003
4,5,Nissan Leaf e+,False,True,56.0,0.0,79509:019:0003
5,6,Nissan Leaf e+,False,True,56.0,0.0,79509:019:0003
6,7,Nissan Leaf e+,False,True,56.0,0.0,79509:023:0030
7,8,Nissan Leaf e+,True,False,56.0,0.0,79509:023:0030
8,9,Nissan Leaf e+,True,False,48.635613086739674,0.0,79509:023:0030
9,10,Nissan Leaf e+,False,True,41.682358732375725,6.600000000000001,79509:023:0030
10,11,Nissan Leaf e+,False,True,48.28235873237573,6.600000000000001,79509:023:0030
11,12,Nissan Leaf e+,True,False,54.88235873237573,0.0,79509:023:0030
12,13,Nissan Leaf e+,False,True,43.76849166072526,6.600000000000001,79509:023:0030
13,14,Nissan Leaf e+,True,False,50.36849166072526,0.0,79509:023:0030
14,15,Nissan Leaf e+,False,True,39.41879552880967,6.600000000000001,79509:023:0030
15,16,Nissan Leaf e+,False,True,46.01879552880967,6.600000000000001,79509:023:0030
16,17,Nissan Leaf e+,True,False,52.61879552880967,0.0,79509:023:0030
17,18,Nissan Leaf e+,False,True,49.777530101821824,6.222469898178176,79509:023:0030
18,19,Nissan Leaf e+,False,True,56.0,0.0,79509:019:0003
19,20,Nissan Leaf e+,True,False,56.0,0.0,79509:019:0003
20,21,Nissan Leaf e+,False,True,40.99123775813445,6.600000000000001,79509:019:0003
21,22,Nissan Leaf e+,True,False,47.591237758134454,0.0,79509:019:0003
22,23,Nissan Leaf e+,True,False,42.16209167596741,0.0,79509:019:0003
23,24,Nissan Leaf e+,True,False,36.9702255421951,0.0,79509:019:0003
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79502:006:0095
1,2,Nissan Leaf e+,False,True,42.85,6.600000000000001,79502:006:0095
2,3,Nissan Leaf e+,False,True,49.45,6.549999999999997,79502:006:0095
3,4,Nissan Leaf e+,False,True,56.0,0.0,79502:006:0095
4,5,Nissan Leaf e+,True,False,56.0,0.0,79502:006:0095
5,6,Nissan Leaf e+,False,True,49.064927262867,6.600000000000001,79502:006:0095
6,7,Nissan Leaf e+,True,False,55.664927262867,0.0,79507:018:0007
7,8,Nissan Leaf e+,True,False,45.07942965594617,0.0,79507:018:0007
8,9,Nissan Leaf e+,True,False,38.55382377667978,0.0,79507:018:0007
9,10,Nissan Leaf e+,True,False,28.14847335715274,0.0,79507:018:0007
10,11,Nissan Leaf e+,False,True,25.210737026238814,6.599999999999998,79507:018:0007
11,12,Nissan Leaf e+,False,True,31.81073702623881,6.600000000000001,79507:018:0007
12,13,Nissan Leaf e+,False,True,38.41073702623881,6.600000000000001,79507:018:0007
13,14,Nissan Leaf e+,True,False,45.010737026238814,0.0,79507:018:0007
14,15,Nissan Leaf e+,False,True,42.11857221463669,6.600000000000001,79507:018:0007
15,16,Nissan Leaf e+,False,True,48.718572214636694,6.600000000000001,79507:018:0007
16,17,Nissan Leaf e+,True,False,55.318572214636696,0.0,79507:018:0007
17,18,Nissan Leaf e+,True,False,46.35558985365631,0.0,79507:018:0007
18,19,Nissan Leaf e+,True,False,38.59085135826819,0.0,79502:006:0095
19,20,Nissan Leaf e+,False,True,29.324726801927795,6.600000000000001,79502:006:0095
20,21,Nissan Leaf e+,False,True,35.9247268019278,6.600000000000001,79502:006:0095
21,22,Nissan Leaf e+,False,True,42.5247268019278,6.600000000000001,79502:006:0095
22,23,Nissan Leaf e+,False,True,49.1247268019278,6.600000000000001,79502:006:0095
23,24,Nissan Leaf e+,False,True,55.7247268019278,0.27527319807219897,79502:006:0095
0,1,Volkswagen ID.3,False,True,36.25,7.200000000000003,79501:016:0003
1,2,Volkswagen ID.3,False,True,43.45,1.5499999999999972,79501:016:0003
2,3,Volkswagen ID.3,False,True,45.0,0.0,79501:016:0003
3,4,Volkswagen ID.3,False,True,45.0,0.0,79501:016:0003
4,5,Volkswagen ID.3,False,True,45.0,0.0,79501:016:0003
5,6,Volkswagen ID.3,False,True,45.0,0.0,79501:016:0003
6,7,Volkswagen ID.3,True,False,45.0,0.0,79516:005:0035
7,8,Volkswagen ID.3,True,False,39.45263444819211,0.0,79516:005:0035
8,9,Volkswagen ID.3,True,False,35.88665738381629,0.0,79516:005:0035
9,10,Volkswagen ID.3,True,False,24.44962796694104,0.0,79516:005:0035
10,11,Volkswagen ID.3,False,True,18.397362258881287,7.199999999999999,79516:005:0035
11,12,Volkswagen ID.3,False,True,25.597362258881287,7.199999999999999,79516:005:0035
12,13,Volkswagen ID.3,False,True,32.797362258881286,7.200000000000003,79516:005:0035
13,14,Volkswagen ID.3,False,True,39.99736225888129,5.002637741118711,79516:005:0035
14,15,Volkswagen ID.3,True,False,45.0,0.0,79516:005:0035
15,16,Volkswagen ID.3,False,True,44.195,0.8049999999999997,79516:005:0035
16,17,Volkswagen ID.3,True,False,45.0,0.0,79516:005:0035
17,18,Volkswagen ID.3,True,False,40.826845588286076,0.0,79516:005:0035
18,19,Volkswagen ID.3,False,True,35.278003513732514,7.200000000000003,79501:016:0003
19,20,Volkswagen ID.3,True,False,42.47800351373252,0.0,79501:016:0003
20,21,Volkswagen ID.3,True,False,39.041993664105405,0.0,79501:016:0003
21,22,Volkswagen ID.3,True,False,34.78112848002601,0.0,79501:016:0003
22,23,Volkswagen ID.3,True,False,29.321248250010903,0.0,79501:016:0003
23,24,Volkswagen ID.3,True,False,28.516248250010904,0.0,79501:016:0003
0,1,Renault Zoe,False,True,36.25,4.75,79508:031:0010
1,2,Renault Zoe,False,True,41.0,0.0,79508:031:0010
2,3,Renault Zoe,False,True,41.0,0.0,79508:031:0010
3,4,Renault Zoe,False,True,41.0,0.0,79508:031:0010
4,5,Renault Zoe,False,True,41.0,0.0,79508:031:0010
5,6,Renault Zoe,False,True,41.0,0.0,79508:031:0010
6,7,Renault Zoe,True,False,41.0,0.0,79501:005:0019
7,8,Renault Zoe,True,False,35.41344253246825,0.0,79501:005:0019
8,9,Renault Zoe,False,True,34.59344253246825,6.406557467531748,79501:005:0019
9,10,Renault Zoe,False,True,41.0,0.0,79501:005:0019
10,11,Renault Zoe,False,True,41.0,0.0,79501:005:0019
11,12,Renault Zoe,False,True,41.0,0.0,79501:005:0019
12,13,Renault Zoe,False,True,41.0,0.0,79501:005:0019
13,14,Renault Zoe,True,False,41.0,0.0,79501:005:0019
14,15,Renault Zoe,False,True,40.18,0.8200000000000003,79501:005:0019
15,16,Renault Zoe,False,True,41.0,0.0,79501:005:0019
16,17,Renault Zoe,False,True,41.0,0.0,79501:005:0019
17,18,Renault Zoe,True,False,41.0,0.0,79501:005:0019
18,19,Renault Zoe,False,True,33.23711779761243,7.762882202387573,79508:031:0010
19,20,Renault Zoe,False,True,41.0,0.0,79508:031:0010
20,21,Renault Zoe,False,True,41.0,0.0,79508:031:0010
21,22,Renault Zoe,False,True,41.0,0.0,79508:031:0010
22,23,Renault Zoe,False,True,41.0,0.0,79508:031:0010
23,24,Renault Zoe,False,True,41.0,0.0,79508:031:0010
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79504:042:0034
1,2,Nissan Leaf e+,False,True,42.85,6.600000000000001,79504:042:0034
2,3,Nissan Leaf e+,False,True,49.45,6.549999999999997,79504:042:0034
3,4,Nissan Leaf e+,False,True,56.0,0.0,79504:042:0034
4,5,Nissan Leaf e+,False,True,56.0,0.0,79504:042:0034
5,6,Nissan Leaf e+,False,True,56.0,0.0,79504:042:0034
6,7,Nissan Leaf e+,True,False,56.0,0.0,79509:023:0030
7,8,Nissan Leaf e+,True,False,42.98869451538779,0.0,79509:023:0030
8,9,Nissan Leaf e+,True,False,37.649258379161694,0.0,79509:023:0030
9,10,Nissan Leaf e+,False,True,36.789258379161694,6.600000000000001,79509:023:0030
10,11,Nissan Leaf e+,False,True,43.389258379161696,6.600000000000001,79509:023:0030
11,12,Nissan Leaf e+,False,True,49.9892583791617,6.010741620838303,79509:023:0030
12,13,Nissan Leaf e+,False,True,56.0,0.0,79509:023:0030
13,14,Nissan Leaf e+,False,True,56.0,0.0,79509:023:0030
14,15,Nissan Leaf e+,False,True,56.0,0.0,79509:023:0030
15,16,Nissan Leaf e+,False,True,56.0,0.0,79509:023:0030
16,17,Nissan Leaf e+,True,False,56.0,0.0,79509:023:0030
17,18,Nissan Leaf e+,True,False,44.93576717697156,0.0,79509:023:0030
18,19,Nissan Leaf e+,True,False,36.65639782212961,0.0,79504:042:0034
19,20,Nissan Leaf e+,True,False,33.05200336691121,0.0,79504:042:0034
20,21,Nissan Leaf e+,True,False,28.122557837389603,0.0,79504:042:0034
21,22,Nissan Leaf e+,True,False,14.381959439822241,0.0,79504:042:0034
22,23,Nissan Leaf e+,True,False,9.20883476871607,0.0,79504:042:0034
23,24,Nissan Leaf e+,False,True,0.0,6.6,79504:042:0034
0,1,Renault Zoe,False,True,36.25,4.75,79508:045:0007
1,2,Renault Zoe,False,True,41.0,0.0,79508:045:0007
2,3,Renault Zoe,False,True,41.0,0.0,79508:045:0007
3,4,Renault Zoe,True,False,41.0,0.0,79508:045:0007
4,5,Renault Zoe,False,True,40.18,0.8200000000000003,79508:045:0007
5,6,Renault Zoe,True,False,41.0,0.0,79508:045:0007
6,7,Renault Zoe,False,True,29.191489759065398,11.808510240934602,79502:034:0018
7,8,Renault Zoe,True,False,41.0,0.0,79502:034:0018
8,9,Renault Zoe,True,False,37.651021395496976,0.0,79502:034:0018
9,10,Renault Zoe,False,True,27.625957391924704,13.374042608075296,79502:034:0018
10,11,Renault Zoe,False,True,41.0,0.0,79502:034:0018
11,12,Renault Zoe,True,False,41.0,0.0,79502:034:0018
12,13,Renault Zoe,False,True,36.31930371387118,4.680696286128821,79502:034:0018
13,14,Renault Zoe,False,True,41.0,0.0,79502:034:0018
14,15,Renault Zoe,True,False,41.0,0.0,79502:034:0018
15,16,Renault Zoe,True,False,38.23973770482401,0.0,79502:034:0018
16,17,Renault Zoe,False,True,37.41973770482401,3.5802622951759915,79502:034:0018
17,18,Renault Zoe,False,True,41.0,0.0,79502:034:0018
18,19,Renault Zoe,True,False,41.0,0.0,79508:045:0007
19,20,Renault Zoe,False,True,32.9423707620143,8.0576292379857,79508:045:0007
20,21,Renault Zoe,True,False,41.0,0.0,79508:045:0007
21,22,Renault Zoe,True,False,26.240000000000002,0.0,79508:045:0007
22,23,Renault Zoe,True,False,19.168157741287125,0.0,79508:045:0007
23,24,Renault Zoe,True,False,11.91940850538165,0.0,79508:045:0007
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79506:005:0028
1,2,Nissan Leaf e+,True,False,42.85,0.0,79506:005:0028
2,3,Nissan Leaf e+,True,False,31.514016181404294,0.0,79506:005:0028
3,4,Nissan Leaf e+,False,True,30.654016181404295,6.600000000000001,79506:005:0028
4,5,Nissan Leaf e+,False,True,37.254016181404296,6.600000000000001,79506:005:0028
5,6,Nissan Leaf e+,False,True,43.8540161814043,6.600000000000001,79506:005:0028
6,7,Nissan Leaf e+,False,True,50.4540161814043,5.545983818595701,79515:005:0003
7,8,Nissan Leaf e+,True,False,56.0,0.0,79515:005:0003
8,9,Nissan Leaf e+,False,True,42.69747602897144,6.600000000000001,79515:005:0003
9,10,Nissan Leaf e+,False,True,49.29747602897144,6.600000000000001,79515:005:0003
10,11,Nissan Leaf e+,True,False,55.89747602897144,0.0,79515:005:0003
11,12,Nissan Leaf e+,False,True,53.51569879495482,2.4843012050451776,79515:005:0003
12,13,Nissan Leaf e+,False,True,56.0,0.0,79515:005:0003
13,14,Nissan Leaf e+,False,True,56.0,0.0,79515:005:0003
14,15,Nissan Leaf e+,False,True,56.0,0.0,79515:005:0003
15,16,Nissan Leaf e+,True,False,56.0,0.0,79515:005:0003
16,17,Nissan Leaf e+,False,True,51.38817236862784,4.611827631372158,79515:005:0003
17,18,Nissan Leaf e+,True,False,56.0,0.0,79515:005:0003
18,19,Nissan Leaf e+,True,False,55.14,0.0,79506:005:0028
19,20,Nissan Leaf e+,True,False,50.02716633636479,0.0,79506:005:0028
20,21,Nissan Leaf e+,False,True,40.21731990165256,6.600000000000001,79506:005:0028
21,22,Nissan Leaf e+,True,False,46.81731990165256,0.0,79506:005:0028
22,23,Nissan Leaf e+,False,True,41.78809095640558,6.600000000000001,79506:005:0028
23,24,Nissan Leaf e+,True,False,48.388090956405584,0.0,79506:005:0028
0,1,Nissan Leaf e+,False,True,36.25,6.600000000000001,79514:001:0060
1,2,Nissan Leaf e+,False,True,42.85,6.600000000000001,79514:001:0060
2,3,Nissan Leaf e+,False,True,49.45,6.549999999999997,79514:001:0060
3,4,Nissan Leaf e+,False,True,56.0,0.0,79514:001:0060
4,5,Nissan Leaf e+,False,True,56.0,0.0,79514:001:0060
5,6,Nissan Leaf e+,False,True,56.0,0.0,79514:001:0060
6,7,Nissan Leaf e+,True,False,56.0,0.0,79502:003:0003
7,8,Nissan Leaf e+,False,True,54.257005645261465,1.742994354738535,79502:003:0003
8,9,Nissan Leaf e+,True,False,56.0,0.0,79502:003:0003
9,10,Nissan Leaf e+,False,True,55.0461805460967,0.9538194539033,79502:003:0003
10,11,Nissan Leaf e+,False,True,56.0,0.0,79502:003:0003
11,12,Nissan Leaf e+,False,True,56.0,0.0,79502:003:0003
12,13,Nissan Leaf e+,False,True,56.0,0.0,79502:003:0003
13,14,Nissan Leaf e+,False,True,56.0,0.0,79502:003:0003
14,15,Nissan Leaf e+,True,False,56.0,0.0,79502:003:0003
15,16,Nissan Leaf e+,False,True,50.30675778291161,5.69324221708839,79502:003:0003
16,17,Nissan Leaf e+,True,False,56.0,0.0,79502:003:0003
17,18,Nissan Leaf e+,False,True,50.35371093114429,5.646289068855708,79502:003:0003
18,19,Nissan Leaf e+,False,True,56.0,0.0,79514:001:0060
