,address,cadaster,latitude,longitude,x,y
0,"1, Kvissentali põik, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti",79514:037:0033,58.406209499999996,26.706300289682535,6477173.280000001,658139.6599999964
1,"28b/1, Orava, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti",79512:036:0020,58.3893105,26.737114143103447,6475347.920000003,660042.3900000006
2,"16, Alevi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50111, Eesti",79508:016:0001,58.3625475,26.726160534407143,6472365.82,659521.1199999973
3,"37, Voolu, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti",79509:019:0003,58.34661750000001,26.70265,6470513.210000001,658227.7899999991
4,"12, Ilmatsalu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti",79502:006:0095,58.375785,26.690146063572282,6473716.8500000015,657353.4900000021
5,"23, Taara puiestee, Tähtvere, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51006, Eesti",79501:016:0003,58.382571,26.7010435,6474540.420000003,657965.3500000015
6,"27, Kuu, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti",79508:031:0010,58.3666685,26.731867747348485,6472847.050000002,659855.5099999979
7,"27, Kesk kaar, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50404, Eesti",79504:042:0034,58.3631285,26.70841402155173,6472378.239999997,658470.2899999991
8,"30, Aleksandri, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96165, Eesti",79508:045:0007,58.373104500000004,26.734346301166084,6473533.329999997,659954.4699999988
9,"66, Julius Kuperjanovi, Vaksali, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50409, Eesti",79506:005:0028,58.3742785,26.70850168928572,6473624.5,658431.6499999985
10,"7, Mäe, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51008, Eesti",79514:001:0060,58.384952,26.72805686384616,6474849.3599999985,659532.3699999973
11,"8, Nelgi, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79502:045:0010,58.37297455,26.693475966873542,6473430.1499999985,657558.7599999979
12,"118, Tamme pst, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50414, Eesti",79504:086:0009,58.351787,26.697735907149077,6471085.960000001,657919.1700000018
13,"3e/14, Ilmatsalu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79502:003:0037,58.377664,26.691045648784623,6473930.32,657387.0600000024
14,"5, Vabriku, Vaksali, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50409, Eesti",79506:003:0035,58.377120999999995,26.70528211052631,6473920.550000002,658234.3299999982
15,"36, Herne, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51007, Eesti",79513:012:0033,58.3858785,26.714700420251717,6474927.449999998,658748.9299999997
16,"9, Tulika, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79503:005:0008,58.368643999999996,26.69272286666667,6472956.82,657538.8500000015
17,"Hobuseraua, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79501:002:0297,58.34553950278576,26.76514148768847,6470607.010000003,661889.3400000036
18,"40, Sangla, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50407, Eesti",79502:018:0005,58.3704372,26.68649545158609,6473132.379999999,657165.3100000024
19,"17/1, Timuti, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti",79509:014:0014,58.3480725,26.701100500000006,6470669.530000001,658101.5600000024
20,"12, Ilmatsalu, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti",79502:006:0079,58.375785,26.690146063572282,6473749.379999999,657347.9200000018
21,"69, Kalevi, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51004, Eesti",79508:026:0009,58.37049500000001,26.733207499999995,6473280.789999999,659898.4099999964
22,"8, Oa, Supilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51700, Eesti",79513:011:0013,58.38618475,26.718584997814194,6474968.550000002,658968.5200000033
23,"1C, Ülase, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79502:030:0010,58.3711885,26.6958135,6473243.52,657706.700000003
24,"18, Künni, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti",79512:008:0023,58.400825899999994,26.724361980497303,6476625.670000003,659252.299999997
25,"9a, Tamme põik, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50416, Eesti",79504:054:0009,58.357615,26.696051,6471721.079999997,657784.4799999967
26,"14, Mureli, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50405, Eesti",79501:002:0446,58.3587825,26.696348762710592,6471890.809999999,657812.6300000027
27,"16, Sihi, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50411, Eesti",79504:017:0015,58.3623395,26.69656300732455,6472266.6400000015,657785.9600000009
28,"10, Kressi, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50408, Eesti",79502:011:0020,58.372935,26.681969607142857,6473426.030000001,656895.200000003
29,"8, Nõva, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50104, Eesti",79508:066:0007,58.36406899999999,26.73871030729167,6472536.579999997,660240.7199999988
30,"13, Elulõnga, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:022:0007,58.34812049999999,26.779010712797614,6470880.23,662671.7400000021
31,"20, Eha, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50103, Eesti",79508:003:0003,58.36945849999999,26.72650554040816,6473126.3500000015,659516.9299999997
32,"21, Kuu, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50114, Eesti",79508:008:0026,58.366567,26.72925408180314,6472804.289999999,659680.2899999991
33,"7, Lemmatsi, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50413, Eesti",79504:089:0028,58.3533297,26.701306736231885,6471272.010000003,658090.200000003
34,"70b/1, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79516:018:0241,58.37711415,26.76080209579545,6474059.039999999,661452.049999997
35,"1b/8, Lubja, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti",79514:005:0036,58.38996650000001,26.717755512748322,6475389.879999999,658905.8699999973
36,"Rannakajaka, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:092:0005,58.343991505212394,26.77927171802841,6470412.579999997,662717.3999999985
37,"200C, Võru, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50112, Eesti",79510:020:0003,58.3516625,26.719456537019234,6471134.0,659167.0799999982
38,"21c, Friedrich Reinhold Kreutzwaldi, Tähtvere, Tähtvere küla, Tartu, Tartu linn, Tartu maakond, 51006, Eesti",79501:002:0011,58.396151,26.68981811372549,6476024.1099999985,657182.25
39,"70f/18, Anne, Annelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti",79516:018:0028,58.37820875,26.760426925017352,6474180.379999999,661451.2400000021
40,"12, Sepikoja, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50109, Eesti",79510:032:0005,58.3460675,26.72052744973545,6470515.129999999,659255.9600000009
41,"37, Nelgi, Veeriku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti",79502:018:0009,58.3702105,26.686830807057056,6473115.3999999985,657185.8200000003
42,"3, Punga, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96039, Eesti",79514:016:0004,58.383174,26.72944704461279,6474656.670000003,659619.1799999997
