,address,cadaster,latitude,longitude,x,y,max_current
134,"2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti",79511:003:0022,58.35560415000001,26.7306968603538,6471601.920000003,659795.2100000009,200
136,"66, Peetri, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti",79512:038:0009,58.39040249999999,26.730959499999994,6475470.489999997,659684.4799999967,160
177,"64, Metshaldja, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:014:0024,58.35218199999999,26.7778575,6471306.960000001,662602.1799999997,160
88,"11, Risti, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti",79512:029:0011,58.3930005,26.724313580050502,6475718.16,659262.1099999994,60
94,"8, Kristalli, Ränilinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti",79505:005:0079,58.349762399999996,26.68318381868545,6470844.170000003,657076.5600000024,160
154,"16, Teguri, Karlova, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti",79508:020:0022,58.36003050000001,26.726306756410256,6472056.1099999985,659545.7299999967,160
146,"46, Kraavikalda, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:014:0007,58.35370345,26.77555225,6471467.190000001,662462.3100000024,160
144,"15, Kanarbiku, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50304, Eesti",79512:047:0004,58.4006022,26.722256130335477,6476574.18,659106.950000003,100
175,"21, Metshaldja, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti",79517:003:0011,58.353697499999996,26.77235701144689,6471504.170000003,662259.6199999973,160
30,"64d, Tamme pst, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50405, Eesti",79504:058:0032,58.35974090000001,26.69869592000256,6471979.510000003,657934.0600000024,160
41,"Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti",79510:039:0004,58.356847129623105,26.726613767354287,6471717.1499999985,659576.7899999991,160
45,"78, Ringtee, Tammelinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50415, Eesti",79504:078:0015,58.35244895,26.689441815415076,6471234.3599999985,657403.6300000027,60
0,"5, Arkadi Laigo, Ihaste, Veibri küla, Luunja vald, Tartu maakond, 62220, Eesti",79517:080:0001,58.35519,26.789744864341092,6471697.949999998,663268.7100000009,60
80,"12A, Sepa, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 96187, Eesti",79510:022:0016,58.350471,26.722082899823164,6470989.73,659324.7100000009,100
161,"24, Pootsmani, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51017, Eesti",79514:037:0108,58.40344705,26.69707559397219,6476815.239999997,657607.9299999997,100
