;cadaster;hour;index;x;address;total_chargers;max_current;latitude;y;public_chargers;longitude;home_chargers;ev_charging;baseload;predicted_throttle;actual_throttle;predicted_ev_charging
0;79301:001:0342;0;138;6474748.690000001;Juure, Jaamamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50705, Eesti;1.0;100;58.38325334486561;661646.7199999988;0.0;26.764144106876696;1.0;7.2;43.0856894000376;0;0;27.561710001946288
1;79502:019:0018;0;15;6473103.1499999985;33, Viljandi mnt, Maarjamõisa, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50412, Eesti;7.0;60;58.37012725;657342.6300000027;2.0;26.689522877738927;5.0;84.2;79.99528264801364;3.274;14.885;27.561710001946288
2;79512:032:0012;0;193;6475460.1400000015;68a/3, Puiestee, Raadi-Kruusamäe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50303, Eesti;1.0;160;58.3904625;659468.4900000021;1.0;26.727509059117647;0.0;0.0;36.85945372019809;0;0;28.05382263411897
3;79514:014:0021;0;168;6474849.440000001;16a, Roosi, Ülejõe, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51009, Eesti;5.0;160;58.38504155;659676.1799999997;1.0;26.73064075000001;4.0;51.7;25.56174223329225;0;0;27.561710001946288
4;79507:022:0008;0;59;6474067.16;2, Juhan Liivi, Kesklinn, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51003, Eesti;5.0;160;58.378215;658809.6599999964;3.0;26.714904347516214;2.0;13.8;152.55103502827512;0;1.27;27.561710001946288
5;79509:013:0018;0;115;6470765.1000000015;21, Kopli, Variku, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50115, Eesti;1.0;60;58.348794999999996;658458.1000000015;1.0;26.707048799157306;0.0;0.0;29.107285172357024;0;0;28.05382263411897
6;79517:025:0023;0;110;6470809.18;18, Põhjatamme pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;6.0;200;58.3475625;662517.6700000018;1.0;26.77592363542251;5.0;46.8;105.15928601838486;0;0;27.561710001946288
7;79301:001:0667;0;73;6470565.41;Ihaste sild, Idaringtee, Ropka tööstusrajoon, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;1.0;200;58.34653220000001;661536.1700000018;0.0;26.760493586983472;1.0;22.0;43.10434501569298;0;0;27.561710001946288
8;79511:003:0022;0;134;6471601.920000003;2, Aardla, Ropka, Tartu linn, Tartu, Tartu linn, Tartu maakond, 50107, Eesti;1.0;200;58.35560415000001;659795.2100000009;1.0;26.7306968603538;0.0;0.0;98.99761173631506;0;0;28.05382263411897
9;79517:053:0014;0;105;6472095.690000001;16, Pallase pst, Ihaste, Tartu linn, Tartu, Tartu linn, Tartu maakond, 51011, Eesti;4.0;60;58.35912775;662802.049999997;2.0;26.7821625;2.0;38.5;26.83589036130916;0;1.334;27.561710001946288
