;cadaster;hour;predicted_throttle;actual_throttle
0;79301:001:0342;0;0;0
0;79301:001:0342;1;0;0
0;79301:001:0342;2;0;0
0;79301:001:0342;3;0;0
0;79301:001:0342;4;0;0
0;79301:001:0342;5;0;0
0;79301:001:0342;6;0;0
0;79301:001:0342;7;0;0
0;79301:001:0342;8;0;0
0;79301:001:0342;9;0;0
0;79301:001:0342;10;0;0
0;79301:001:0342;11;0;0
0;79301:001:0342;12;0;0
0;79301:001:0342;13;0;0
0;79301:001:0342;14;0;0
0;79301:001:0342;15;0;0
0;79301:001:0342;16;0;0
0;79301:001:0342;17;0;0
0;79301:001:0342;18;0;0
0;79301:001:0342;19;0;0
0;79301:001:0342;20;0;0
0;79301:001:0342;21;0;0
0;79301:001:0342;22;0;0
0;79301:001:0342;23;0;0
0;79502:019:0018;0;10.341;14.885
0;79502:019:0018;1;5.93;6.902
0;79502:019:0018;2;1.929;3.067
0;79502:019:0018;3;3.23;4.702
0;79502:019:0018;4;0;0
0;79502:019:0018;5;0;2.788
0;79502:019:0018;6;2.411;2.279
0;79502:019:0018;7;0.224;0
0;79502:019:0018;8;5.381;4.728
0;79502:019:0018;9;4.851;8.046
0;79502:019:0018;10;4.933;11.197
0;79502:019:0018;11;2.958;1.614
0;79502:019:0018;12;4.483;8.324
0;79502:019:0018;13;1.878;0.366
0;79502:019:0018;14;1.405;3.59
0;79502:019:0018;15;3.389;1.636
0;79502:019:0018;16;3.736;6.113
0;79502:019:0018;17;3.945;6.044
0;79502:019:0018;18;5.969;4.354
0;79502:019:0018;19;4.346;10.999
0;79502:019:0018;20;6.313;3.899
0;79502:019:0018;21;7.2;12.28
0;79502:019:0018;22;3.693;4.606
0;79502:019:0018;23;3.631;2.899
0;79512:032:0012;0;0;0
0;79512:032:0012;1;0;0
0;79512:032:0012;2;0;0
0;79512:032:0012;3;0;0
0;79512:032:0012;4;0;0
0;79512:032:0012;5;0;0
0;79512:032:0012;6;0;0
0;79512:032:0012;7;0;0
0;79512:032:0012;8;0;0
0;79512:032:0012;9;0;0
0;79512:032:0012;10;0;0
0;79512:032:0012;11;0;0
0;79512:032:0012;12;0;0
0;79512:032:0012;13;0;0
0;79512:032:0012;14;0;0
0;79512:032:0012;15;0;0
0;79512:032:0012;16;0;0
0;79512:032:0012;17;0;0
0;79512:032:0012;18;0;0
0;79512:032:0012;19;0;0
0;79512:032:0012;20;0;0
0;79512:032:0012;21;0;0
0;79512:032:0012;22;0;0
0;79512:032:0012;23;0;0
0;79514:014:0021;0;0;0
0;79514:014:0021;1;0;0
0;79514:014:0021;2;0;0
0;79514:014:0021;3;0;0
0;79514:014:0021;4;0;0
0;79514:014:0021;5;0;0
0;79514:014:0021;6;0;0
0;79514:014:0021;7;0;0
0;79514:014:0021;8;0;0
0;79514:014:0021;9;0;0
0;79514:014:0021;10;0;0
0;79514:014:0021;11;0;0
0;79514:014:0021;12;0;0
0;79514:014:0021;13;0;0
0;79514:014:0021;14;0;0
0;79514:014:0021;15;0;0
0;79514:014:0021;16;0;0
0;79514:014:0021;17;0;0
0;79514:014:0021;18;0;0
0;79514:014:0021;19;0;0
0;79514:014:0021;20;0;0
0;79514:014:0021;21;0;0
0;79514:014:0021;22;0;0
0;79514:014:0021;23;0;0
0;79507:022:0008;0;3.961;1.27
0;79507:022:0008;1;0.394;0
0;79507:022:0008;2;0;0
0;79507:022:0008;3;0;0
0;79507:022:0008;4;0;0
0;79507:022:0008;5;0;0
0;79507:022:0008;6;0;0
0;79507:022:0008;7;0;0
0;79507:022:0008;8;0;4.89
0;79507:022:0008;9;11.506;12.778
0;79507:022:0008;10;2.633;0.898
0;79507:022:0008;11;5.512;7.49
0;79507:022:0008;12;6.26;9.923
0;79507:022:0008;13;3.377;4.547
0;79507:022:0008;14;4.957;12.911
0;79507:022:0008;15;0;0
0;79507:022:0008;16;6.866;8.287
0;79507:022:0008;17;0.158;0
0;79507:022:0008;18;2.271;0.633
0;79507:022:0008;19;1.533;1.482
0;79507:022:0008;20;3.417;3.761
0;79507:022:0008;21;0.837;0.25
0;79507:022:0008;22;4.594;3.755
0;79507:022:0008;23;0.46;0
0;79509:013:0018;0;0;0
0;79509:013:0018;1;0;0
0;79509:013:0018;2;0;0
0;79509:013:0018;3;0;0
0;79509:013:0018;4;0;0
0;79509:013:0018;5;0;0
0;79509:013:0018;6;0;0
0;79509:013:0018;7;0.84;0
0;79509:013:0018;8;0;0
0;79509:013:0018;9;11.745;0
0;79509:013:0018;10;4.266;3.937
0;79509:013:0018;11;0;0
0;79509:013:0018;12;3.024;0.657
0;79509:013:0018;13;0;0
0;79509:013:0018;14;0;0
0;79509:013:0018;15;0.557;0
0;79509:013:0018;16;0;0
0;79509:013:0018;17;0;0
0;79509:013:0018;18;0;0
0;79509:013:0018;19;0;0
0;79509:013:0018;20;0;0
0;79509:013:0018;21;0;0
0;79509:013:0018;22;0;0
0;79509:013:0018;23;0;0
0;79517:025:0023;0;0;0
0;79517:025:0023;1;0;0
0;79517:025:0023;2;0;0
0;79517:025:0023;3;0;0
0;79517:025:0023;4;0;0
0;79517:025:0023;5;0;0
0;79517:025:0023;6;0;0
0;79517:025:0023;7;0;0
0;79517:025:0023;8;0;0
0;79517:025:0023;9;0;0
0;79517:025:0023;10;0;0
0;79517:025:0023;11;0;0
0;79517:025:0023;12;0;0
0;79517:025:0023;13;0;0
0;79517:025:0023;14;0;0
0;79517:025:0023;15;0;0
0;79517:025:0023;16;0;0
0;79517:025:0023;17;0;0
0;79517:025:0023;18;0;0
0;79517:025:0023;19;0;0
0;79517:025:0023;20;0;0
0;79517:025:0023;21;0;0
0;79517:025:0023;22;0;0
